,benchmark,config,retain count,release count,rc1 count
0,bench_calc.mor,llvm-record_rc-default-rc-cow,0,1888200,399600
1,bench_calc.mor,llvm-record_rc-default-rc-persistent,0,1888200,217400
2,bench_calc.mor,llvm-record_rc-perceus-rc-cow,202943200,204831600,399600
3,bench_calc.mor,llvm-record_rc-perceus-rc-persistent,202943200,204831600,217400
4,bench_cfold.mor,llvm-record_rc-default-rc-cow,5997100,12550680,0
5,bench_cfold.mor,llvm-record_rc-default-rc-persistent,5997100,12550680,0
6,bench_cfold.mor,llvm-record_rc-perceus-rc-cow,24591290,31144870,0
7,bench_cfold.mor,llvm-record_rc-perceus-rc-persistent,24591290,31144870,0
8,bench_deriv.mor,llvm-record_rc-default-rc-cow,2251920,6496430,180
9,bench_deriv.mor,llvm-record_rc-default-rc-persistent,2251920,6496430,0
10,bench_deriv.mor,llvm-record_rc-perceus-rc-cow,138729250,142973760,180
11,bench_deriv.mor,llvm-record_rc-perceus-rc-persistent,138729250,142973760,0
12,bench_lisp.mor,llvm-record_rc-default-rc-cow,269054670,363917160,225525690
13,bench_lisp.mor,llvm-record_rc-default-rc-persistent,283639650,378502140,79932330
14,bench_lisp.mor,llvm-record_rc-perceus-rc-cow,1801441590,1896304110,225525750
15,bench_lisp.mor,llvm-record_rc-perceus-rc-persistent,1815921570,1910784090,79932360
16,bench_nqueens_functional.mor,llvm-record_rc-default-rc-cow,54800280,54800350,154095025
17,bench_nqueens_functional.mor,llvm-record_rc-default-rc-persistent,54800280,54800350,152272590
18,bench_nqueens_functional.mor,llvm-record_rc-perceus-rc-cow,54800280,54800350,154095025
19,bench_nqueens_functional.mor,llvm-record_rc-perceus-rc-persistent,54800280,54800350,152272590
20,bench_nqueens_iterative.mor,llvm-record_rc-default-rc-cow,4280940,4280950,4422870
21,bench_nqueens_iterative.mor,llvm-record_rc-default-rc-persistent,4280940,4280950,118925
22,bench_nqueens_iterative.mor,llvm-record_rc-perceus-rc-cow,54800280,54800290,4422870
23,bench_nqueens_iterative.mor,llvm-record_rc-perceus-rc-persistent,54800280,54800290,118925
24,bench_parse_json.mor,llvm-record_rc-default-rc-cow,0,586960,6758960
25,bench_parse_json.mor,llvm-record_rc-default-rc-persistent,0,586960,3093330
26,bench_parse_json.mor,llvm-record_rc-perceus-rc-cow,134367180,134954150,6758960
27,bench_parse_json.mor,llvm-record_rc-perceus-rc-persistent,134367180,134954150,3093330
28,bench_primes_sieve.mor,llvm-record_rc-default-rc-cow,0,0,6614200
29,bench_primes_sieve.mor,llvm-record_rc-default-rc-persistent,0,0,7925200
30,bench_primes_sieve.mor,llvm-record_rc-perceus-rc-cow,0,0,6614200
31,bench_primes_sieve.mor,llvm-record_rc-perceus-rc-persistent,0,0,7925200
32,bench_rbtree.mor,llvm-record_rc-default-rc-cow,265338120,412707030,0
33,bench_rbtree.mor,llvm-record_rc-default-rc-persistent,265338120,412707030,0
34,bench_rbtree.mor,llvm-record_rc-perceus-rc-cow,1683386740,1830755650,0
35,bench_rbtree.mor,llvm-record_rc-perceus-rc-persistent,1683386740,1830755650,0
36,bench_rbtree_ck.mor,llvm-record_rc-default-rc-cow,266178120,413547040,1680000
37,bench_rbtree_ck.mor,llvm-record_rc-default-rc-persistent,266178120,413547040,1144390
38,bench_rbtree_ck.mor,llvm-record_rc-perceus-rc-cow,1684226750,1831595670,1680000
39,bench_rbtree_ck.mor,llvm-record_rc-perceus-rc-persistent,1684226750,1831595670,1144390
40,bench_text_stats.mor,llvm-record_rc-default-rc-cow,0,150,960
41,bench_text_stats.mor,llvm-record_rc-default-rc-persistent,0,150,300
42,bench_text_stats.mor,llvm-record_rc-perceus-rc-cow,118640400,118640580,960
43,bench_text_stats.mor,llvm-record_rc-perceus-rc-persistent,118640400,118640580,300
44,bench_unify.mor,llvm-record_rc-default-rc-cow,3498416,5513854,2290476
45,bench_unify.mor,llvm-record_rc-default-rc-persistent,3825426,5840864,2484913
46,bench_unify.mor,llvm-record_rc-perceus-rc-cow,15504126,17519565,2445992
47,bench_unify.mor,llvm-record_rc-perceus-rc-persistent,15831136,17846575,2640429
48,bench_words_trie.mor,llvm-record_rc-default-rc-cow,0,39370,1622240
49,bench_words_trie.mor,llvm-record_rc-default-rc-persistent,247880,287250,862980
50,bench_words_trie.mor,llvm-record_rc-perceus-rc-cow,3247060,3286450,1622240
51,bench_words_trie.mor,llvm-record_rc-perceus-rc-persistent,3494940,3534330,862980
